data_richiesta;NUM
27/07/2021;2641
28/07/2021;2436
29/07/2021;2507
30/07/2021;2132
31/07/2021;1459
01/08/2021;933
02/08/2021;2923
03/08/2021;2722
04/08/2021;2194
05/08/2021;2611
06/08/2021;2590
07/08/2021;1488
08/08/2021;1065
09/08/2021;2572
10/08/2021;2503
11/08/2021;2331
12/08/2021;2190
13/08/2021;1986
14/08/2021;1482
15/08/2021;694
16/08/2021;2861
17/08/2021;2895
18/08/2021;2556
19/08/2021;2311
20/08/2021;2083
21/08/2021;1342
22/08/2021;972
23/08/2021;3226
24/08/2021;3022
25/08/2021;2470
26/08/2021;2383
27/08/2021;3018
28/08/2021;2089
29/08/2021;1089
30/08/2021;3418
31/08/2021;2759
01/09/2021;2559
02/09/2021;2997
03/09/2021;3119
04/09/2021;2163
05/09/2021;1168
06/09/2021;3538
07/09/2021;3069
08/09/2021;2908
09/09/2021;2877
10/09/2021;2769
11/09/2021;2161
12/09/2021;1238
13/09/2021;3258
14/09/2021;3501
15/09/2021;3194
16/09/2021;3126
17/09/2021;3078
18/09/2021;2101
19/09/2021;1180
20/09/2021;3572
21/09/2021;3524
22/09/2021;3257
23/09/2021;3246
24/09/2021;2913
25/09/2021;2380
26/09/2021;1315
27/09/2021;3344
28/09/2021;3394
29/09/2021;3172
30/09/2021;1967
01/10/2021;1118
02/10/2021;164
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
